10-årsjubilæum		sb.	50000004	1	10-årsjubilæer;10-årsjubilæerne;10-årsjubilæernes;10-årsjubilæers;10-årsjubilæet;10-årsjubilæets;10-årsjubilæum;10-årsjubilæums;tiårsjubilæer;tiårsjubilæerne;tiårsjubilæernes;tiårsjubilæers;tiårsjubilæet;tiårsjubilæets;tiårsjubilæum;tiårsjubilæums
12-talspige		sb.	49001472	1	12-talspige;12-talspigen;12-talspigens;12-talspiger;12-talspigerne;12-talspigernes;12-talspigers;12-talspiges;tolvtalspige;tolvtalspigen;tolvtalspigens;tolvtalspiger;tolvtalspigerne;tolvtalspigernes;tolvtalspigers;tolvtalspiges
25-årsjubilar		sb.	50000005	1	25-årsjubilar;25-årsjubilaren;25-årsjubilarens;25-årsjubilarer;25-årsjubilarerne;25-årsjubilarernes;25-årsjubilarers;25-årsjubilars;femogtyveårsjubilar;femogtyveårsjubilaren;femogtyveårsjubilarens;femogtyveårsjubilarer;femogtyveårsjubilarerne;femogtyveårsjubilarernes;femogtyveårsjubilarers;femogtyveårsjubilars
50-årsfødselsdag		sb.	50000007	1	50-årsfødselsdag;50-årsfødselsdage;50-årsfødselsdagen;50-årsfødselsdagene;50-årsfødselsdagenes;50-årsfødselsdagens;50-årsfødselsdages;50-årsfødselsdags
abandonnere		vb.	41001317	-1	abandonner;abandonnere;abandonnerede;abandonnerende;abandonnerer;abandonneres;abandonneret
abekattestreger		sb. pl.	11000040	1	abekattestreger;abekattestregerne;abekattestregernes;abekattestregers
abeskøn		adj.	11000046	3	abeskøn;abeskønne;abeskønnes;abeskønt;abeskønts
abesprog		sb.	11000047	-2	abesprog;abesprogene;abesprogenes;abesproget;abesprogets;abesprogs
abnorm		adj.	11000053	-1	abnorm;abnorme;abnormes;abnormt;abnormts
abnormitet		sb.	11000054	-2	abnormitet;abnormiteten;abnormitetens;abnormiteter;abnormiteterne;abnormiteternes;abnormiteters;abnormitets
absolut	1	sb.	11000080	1	absolut;absoluts;absolutter;absolutterne;absolutternes;absolutters;absoluttet;absoluttets
absolut	2	adj.	11000081	1	absolut;absoluts;absolutte;absoluttes
absoluthed		sb.	11000082	1	absoluthed;absolutheden;absoluthedens;absolutheds
abstinens		sb.	11000089	-1	abstinens';abstinens;abstinensen;abstinensens;abstinenser;abstinenserne;abstinensernes;abstinensers
abstinenssymptom		sb.	41001335	-2	abstinenssymptom;abstinenssymptomer;abstinenssymptomerne;abstinenssymptomernes;abstinenssymptomers;abstinenssymptomet;abstinenssymptomets;abstinenssymptoms
abstrus		adj.	41001336	-2	abstrus;abstruse;abstruses;abstrust;abstrusts
absurd		adj.	11000096	-2	absurd;absurde;absurdes;absurds
absurdisme		sb.	11000097	-1	absurdisme;absurdismen;absurdismens;absurdismes
absurditet		sb.	11000098	-2	absurditet;absurditeten;absurditetens;absurditeter;absurditeterne;absurditeternes;absurditeters;absurditets
accentuere		vb.	11000112	1	accentuer;accentuere;accentuerede;accentuerende;accentuerer;accentueres;accentueret
accentuering		sb.	40000019	1	accentuering;accentueringen;accentueringens;accentuerings
accept		sb.	11000113	1	accept;accepten;acceptens;accepter;accepterne;accepternes;accepters;accepts
acceptabel		adj.	11000114	1	acceptabel;acceptabelt;acceptabelts;acceptable;acceptables
acceptere		vb.	11000115	1	accepter;acceptere;accepterede;accepterende;accepterer;accepteres;accepteret
accessit		sb.	41001342	3	accessit;accessits
ad	1	udråbsord	11000140	-3	ad
adelsmærke		sb.	11000165	1	adelsmærke;adelsmærker;adelsmærkerne;adelsmærkernes;adelsmærkers;adelsmærkes;adelsmærket;adelsmærkets
adelstitel		sb.	50000021	1	adelstitel;adelstitels;adelstitlen;adelstitlens;adelstitler;adelstitlerne;adelstitlernes;adelstitlers
adfærdsvanskelig		adj.	11000175	-1	adfærdsvanskelig;adfærdsvanskelige;adfærdsvanskeliges;adfærdsvanskeligt;adfærdsvanskeligts
adle		vb.	11000196	1	adl;adle;adlede;adlende;adler;adles;adlet
adlyde		vb.	11000199	1	adlyd;adlyde;adlydende;adlyder;adlydes;adlydt;adlydts;adlød
administrere		vb.	11000204	1	administrer;administrere;administrerede;administrerende;administrerer;administreres;administreret
admirabel		adj.	41001356	1	admirabel;admirabelt;admirabelts;admirable;admirables
adsprede		vb.	11000233	1	adspred;adsprede;adspredende;adspreder;adspredes;adspredt;adspredte;adspredtes;adspredts
adstadig		adj.	11000237	1	adstadig;adstadige;adstadiges;adstadigt;adstadigts
adstadighed		sb.	40000078	1	adstadighed;adstadigheden;adstadighedens;adstadigheds
advare		vb.	11000241	-2	advar;advare;advarede;advarende;advarer;advares;advaret
advarsel		sb.	11000242	-3	advarsel;advarsels;advarslen;advarslens;advarsler;advarslerne;advarslernes;advarslers
advarselsblink		sb.	40000079	-2	advarselsblink;advarselsblinkene;advarselsblinkenes;advarselsblinket;advarselsblinkets;advarselsblinks
advarselslampe		sb.	11000243	-2	advarselslampe;advarselslampen;advarselslampens;advarselslamper;advarselslamperne;advarselslampernes;advarselslampers;advarselslampes
ae		vb.	11000268	2	a;ae;aede;aende;aer;aes;aet
aerofobi		sb.	53500006	-1	aerofobi;aerofobien;aerofobiens;aerofobier;aerofobierne;aerofobiernes;aerofobiers;aerofobis
afbalancere		vb.	11000289	2	afbalancer;afbalancere;afbalancerede;afbalancerende;afbalancerer;afbalanceres;afbalanceret
afbalancering		sb.	40000092	1	afbalancering;afbalanceringen;afbalanceringens;afbalancerings
afbigt		sb.	11000300	-1	afbigt;afbigten;afbigtens;afbigts
afblomstre		vb.	11000306	-1	afblomstr;afblomstre;afblomstrede;afblomstrende;afblomstrer;afblomstres;afblomstret
afblomstring		sb.	40000098	-1	afblomstring;afblomstringen;afblomstringens;afblomstrings
afblæse		vb.	11000307	-1	afblæs;afblæse;afblæsende;afblæser;afblæses;afblæst;afblæste;afblæstes;afblæsts
afblæsning		sb.	40000099	-1	afblæsning;afblæsningen;afblæsningens;afblæsninger;afblæsningerne;afblæsningernes;afblæsningers;afblæsnings
afbryde		vb.	11000308	-2	afbrudt;afbrudts;afbryd;afbryde;afbrydende;afbryder;afbrydes;afbrød
afbrydelse		sb.	11000309	-2	afbrydelse;afbrydelsen;afbrydelsens;afbrydelser;afbrydelserne;afbrydelsernes;afbrydelsers;afbrydelses
afbræk		sb.	11000311	1	afbræk;afbrækkene;afbrækkenes;afbrækket;afbrækkets;afbræks
afbrænder		sb.	11000314	-2	afbrænder;afbrændere;afbrænderen;afbrænderens;afbrænderes;afbrænderne;afbrændernes;afbrænders
afbud		sb.	11000315	-1	afbud;afbuddene;afbuddenes;afbuddet;afbuddets;afbuds
afbøde		vb.	11000318	1	afbød;afbøde;afbødede;afbødende;afbøder;afbødes;afbødet
afbødning		sb.	40000105	1	afbødning;afbødningen;afbødningens;afbødnings
afdramatisere		vb.	11000333	1	afdramatiser;afdramatisere;afdramatiserede;afdramatiserende;afdramatiserer;afdramatiseres;afdramatiseret
afdramatisering		sb.	40000115	1	afdramatisering;afdramatiseringen;afdramatiseringens;afdramatiserings
afdæmpe		vb.	11000340	1	afdæmp;afdæmpe;afdæmpede;afdæmpende;afdæmper;afdæmpes;afdæmpet
affabel		adj.	11000344	1	affabel;affabelt;affabelts;affable;affables
affald		sb.	11000345	-1	affald;affaldet;affaldets;affalds
affaldsproblem		sb.	40000124	-2	affaldsproblem;affaldsproblemer;affaldsproblemerne;affaldsproblemernes;affaldsproblemers;affaldsproblemet;affaldsproblemets;affaldsproblems
